scenario_id,family,a,b,expected_risk,reference_status,source,no_precheck_accepted,discriminant_only_accepted,adamova_decision,adamova_gate_accepted,gate_latency_ms,note
singular_zero_zero,singular,0,0,True,constructed_singular,injected,True,False,REJECT_SINGULAR,False,12.548833,4a^3 + 27b^2 = 0.
singular_minus3_2,singular,-3,2,True,constructed_singular,injected,True,False,REJECT_SINGULAR,False,8.287667,Classic singular short-Weierstrass example.
two_torsion_minus1_0,small_torsion,-1,0,True,constructed_rational_2_torsion,injected,True,True,REJECT_SMALL_TORSION_RISK,False,13.741834,Three rational 2-torsion roots.
two_torsion_minus4_0,small_torsion,-4,0,True,constructed_rational_2_torsion,injected,True,True,REJECT_SMALL_TORSION_RISK,False,17.559709,"Rational 2-torsion roots at x=0, +/-2."
three_torsion_0_1,small_torsion,0,1,True,constructed_3_torsion_indicator,injected,True,True,REJECT_SMALL_TORSION_RISK,False,9.47275,Integer Stage A 3-torsion indicator.
malformed_a,malformed,not-an-integer,104729,True,not_applicable_malformed,injected,False,False,REFERENCE_VALIDATION_REQUIRED,False,9.251833,Malformed coefficient must not become a session profile.
malformed_b,malformed,65537,1/3,True,not_applicable_malformed,injected,False,False,REFERENCE_VALIDATION_REQUIRED,False,15.835666,Non-integer coefficient must require reference/manual handling.
size_guarded_128ish,size_guarded,340282366920938463463374607431768211507,340282366920938463463374607431768211297,True,requires_reference_validation,injected,True,True,SIZE_GUARDED,False,11.426083,Oversized local scan should not auto-admit.
downgrade_to_two_torsion,downgrade,-1,0,True,constructed_downgrade_attack,injected,True,True,REJECT_SMALL_TORSION_RISK,False,10.958042,Downgrade attempt to a weaker experimental profile.
packet_profile_mismatch_three_torsion,packet_mismatch,0,1,True,constructed_packet_profile_mismatch,injected,True,True,REJECT_SMALL_TORSION_RISK,False,12.323042,Packet/session profile mismatch uses suspicious parameters.
sage_accept_control_sage_checked_5_001,accepted_control,-27,55350,False,SageMath torsion Z/5Z; Stage A case A4,sage_fixture,True,True,ACCEPT,True,10.555792,Reference fixture with no rational 2/3-torsion indicator under Stage A.
sage_accept_control_sage_checked_5_003,accepted_control,2160,170640,False,SageMath torsion Z/5Z; Stage A case A4,sage_fixture,True,True,ACCEPT,True,9.863583,Reference fixture with no rational 2/3-torsion indicator under Stage A.
sage_accept_control_sage_checked_7_001,accepted_control,-3483,121014,False,SageMath torsion Z/7Z; Stage A case A4,sage_fixture,True,True,ACCEPT,True,10.709292,Reference fixture with no rational 2/3-torsion indicator under Stage A.
generated_accept_control_01,accepted_control,43780,23380,False,generated_stage_a_accept_control,deterministic_generator,True,True,ACCEPT,True,10.555208,Deterministic generated control accepted by the Stage A admission policy.
generated_accept_control_02,accepted_control,-32004,-14051,False,generated_stage_a_accept_control,deterministic_generator,True,True,ACCEPT,True,10.813334,Deterministic generated control accepted by the Stage A admission policy.
generated_accept_control_03,accepted_control,-35828,-25081,False,generated_stage_a_accept_control,deterministic_generator,True,True,ACCEPT,True,7.991666,Deterministic generated control accepted by the Stage A admission policy.
generated_accept_control_04,accepted_control,-42310,34390,False,generated_stage_a_accept_control,deterministic_generator,True,True,ACCEPT,True,8.142,Deterministic generated control accepted by the Stage A admission policy.
generated_accept_control_05,accepted_control,-33134,-6995,False,generated_stage_a_accept_control,deterministic_generator,True,True,ACCEPT,True,7.846084,Deterministic generated control accepted by the Stage A admission policy.
generated_accept_control_06,accepted_control,25124,47478,False,generated_stage_a_accept_control,deterministic_generator,True,True,ACCEPT,True,10.775834,Deterministic generated control accepted by the Stage A admission policy.
generated_accept_control_07,accepted_control,-6756,-37611,False,generated_stage_a_accept_control,deterministic_generator,True,True,ACCEPT,True,7.564708,Deterministic generated control accepted by the Stage A admission policy.
